penalty,cadence,arm,gate_class,mode,n,n_agree,n_false_proceed,n_false_stop,lookups,bytes_read
0.005,2,prose,lineage_allowlist,blind,4000,1223,0,2777,0,0
0.005,2,prose,lineage_blocklist,blind,4000,3079,901,20,0,0
0.005,2,prose,reconstruction,blind,4000,3417,85,498,0,0
0.005,2,prose,score,blind,6000,5403,156,441,0,0
0.005,2,structural_min,lineage_allowlist,blind,4000,2998,0,1002,0,0
0.005,2,structural_min,lineage_allowlist,degrade,4000,2998,0,1002,0,0
0.005,2,structural_min,lineage_blocklist,blind,4000,3298,702,0,0,0
0.005,2,structural_min,lineage_blocklist,degrade,4000,3595,0,405,0,0
0.005,2,structural_min,reconstruction,blind,4000,2272,0,1728,0,0
0.005,2,structural_min,score,blind,6000,6000,0,0,0,0
0.005,2,structural_perhop,lineage_allowlist,blind,4000,2998,0,1002,0,0
0.005,2,structural_perhop,lineage_allowlist,degrade,4000,2998,0,1002,0,0
0.005,2,structural_perhop,lineage_blocklist,blind,4000,3298,702,0,0,0
0.005,2,structural_perhop,lineage_blocklist,degrade,4000,3595,0,405,0,0
0.005,2,structural_perhop,reconstruction,blind,4000,4000,0,0,0,0
0.005,2,structural_perhop,score,blind,6000,6000,0,0,0,0
0.005,3,prose,lineage_allowlist,blind,4000,1504,0,2496,0,0
0.005,3,prose,lineage_blocklist,blind,4000,3149,803,48,0,0
0.005,3,prose,reconstruction,blind,4000,3542,75,383,0,0
0.005,3,prose,score,blind,6000,5547,137,316,0,0
0.005,3,structural_min,lineage_allowlist,blind,4000,3148,6,846,0,0
0.005,3,structural_min,lineage_allowlist,degrade,4000,3148,6,846,0,0
0.005,3,structural_min,lineage_blocklist,blind,4000,3345,655,0,0,0
0.005,3,structural_min,lineage_blocklist,degrade,4000,3613,0,387,0,0
0.005,3,structural_min,reconstruction,blind,4000,2936,0,1064,0,0
0.005,3,structural_min,score,blind,6000,6000,0,0,0,0
0.005,3,structural_perhop,lineage_allowlist,blind,4000,3148,6,846,0,0
0.005,3,structural_perhop,lineage_allowlist,degrade,4000,3148,6,846,0,0
0.005,3,structural_perhop,lineage_blocklist,blind,4000,3345,655,0,0,0
0.005,3,structural_perhop,lineage_blocklist,degrade,4000,3613,0,387,0,0
0.005,3,structural_perhop,reconstruction,blind,4000,4000,0,0,0,0
0.005,3,structural_perhop,score,blind,6000,6000,0,0,0,0
0.005,5,prose,lineage_allowlist,blind,4000,863,0,3137,0,0
0.005,5,prose,lineage_blocklist,blind,4000,3217,698,85,0,0
0.005,5,prose,reconstruction,blind,4000,3537,115,348,0,0
0.005,5,prose,score,blind,6000,5594,162,244,0,0
0.005,5,structural_min,lineage_allowlist,blind,4000,2814,0,1186,0,0
0.005,5,structural_min,lineage_allowlist,degrade,4000,2814,0,1186,0,0
0.005,5,structural_min,lineage_blocklist,blind,4000,3250,750,0,0,0
0.005,5,structural_min,lineage_blocklist,degrade,4000,3569,0,431,0,0
0.005,5,structural_min,reconstruction,blind,4000,3568,0,432,0,0
0.005,5,structural_min,score,blind,6000,6000,0,0,0,0
0.005,5,structural_perhop,lineage_allowlist,blind,4000,2814,0,1186,0,0
0.005,5,structural_perhop,lineage_allowlist,degrade,4000,2814,0,1186,0,0
0.005,5,structural_perhop,lineage_blocklist,blind,4000,3250,750,0,0,0
0.005,5,structural_perhop,lineage_blocklist,degrade,4000,3569,0,431,0,0
0.005,5,structural_perhop,reconstruction,blind,4000,4000,0,0,0,0
0.005,5,structural_perhop,score,blind,6000,6000,0,0,0,0
0.005,10,prose,lineage_allowlist,blind,4000,1831,0,2169,0,0
0.005,10,prose,lineage_blocklist,blind,4000,3464,514,22,0,0
0.005,10,prose,reconstruction,blind,4000,3726,65,209,0,0
0.005,10,prose,score,blind,6000,5771,103,126,0,0
0.005,10,structural_min,lineage_allowlist,blind,4000,3423,0,577,0,0
0.005,10,structural_min,lineage_allowlist,degrade,4000,3423,0,577,0,0
0.005,10,structural_min,lineage_blocklist,blind,4000,3410,590,0,0,0
0.005,10,structural_min,lineage_blocklist,degrade,4000,3665,0,335,0,0
0.005,10,structural_min,reconstruction,blind,4000,3771,0,229,0,0
0.005,10,structural_min,score,blind,6000,6000,0,0,0,0
0.005,10,structural_perhop,lineage_allowlist,blind,4000,3423,0,577,0,0
0.005,10,structural_perhop,lineage_allowlist,degrade,4000,3423,0,577,0,0
0.005,10,structural_perhop,lineage_blocklist,blind,4000,3410,590,0,0,0
0.005,10,structural_perhop,lineage_blocklist,degrade,4000,3665,0,335,0,0
0.005,10,structural_perhop,reconstruction,blind,4000,4000,0,0,0,0
0.005,10,structural_perhop,score,blind,6000,6000,0,0,0,0
0.005,15,prose,lineage_allowlist,blind,4000,2479,0,1521,0,0
0.005,15,prose,lineage_blocklist,blind,4000,3528,424,48,0,0
0.005,15,prose,reconstruction,blind,4000,3738,70,192,0,0
0.005,15,prose,score,blind,6000,5805,99,96,0,0
0.005,15,structural_min,lineage_allowlist,blind,4000,3626,0,374,0,0
0.005,15,structural_min,lineage_allowlist,degrade,4000,3626,0,374,0,0
0.005,15,structural_min,lineage_blocklist,blind,4000,3516,484,0,0,0
0.005,15,structural_min,lineage_blocklist,degrade,4000,3720,0,280,0,0
